,date,open,high,low,close,volume,tic
251,2020.09.07,1.31516,1.3151700000000002,1.31491,1.31494,47,GBPUSD
252,2020.09.07,1.31494,1.3149600000000001,1.31473,1.31495,33,GBPUSD
253,2020.09.07,1.31497,1.31498,1.31487,1.31489,18,GBPUSD
254,2020.09.07,1.31489,1.31503,1.3148799999999998,1.3149899999999999,36,GBPUSD
255,2020.09.07,1.3149899999999999,1.31504,1.31474,1.31487,29,GBPUSD
256,2020.09.07,1.31487,1.31503,1.31482,1.31498,31,GBPUSD
257,2020.09.07,1.31498,1.3151,1.31474,1.31495,32,GBPUSD
258,2020.09.07,1.31495,1.31495,1.3147799999999998,1.31489,32,GBPUSD
259,2020.09.07,1.31489,1.31501,1.31484,1.31495,29,GBPUSD
260,2020.09.07,1.31497,1.3151899999999999,1.31497,1.3149899999999999,32,GBPUSD
261,2020.09.07,1.3149899999999999,1.31504,1.31491,1.31503,25,GBPUSD
262,2020.09.07,1.31503,1.31516,1.31501,1.3150899999999999,38,GBPUSD
263,2020.09.07,1.3150899999999999,1.3151,1.31501,1.3150600000000001,23,GBPUSD
264,2020.09.07,1.3150600000000001,1.3159100000000001,1.31502,1.31586,29,GBPUSD
265,2020.09.07,1.31585,1.31585,1.31541,1.31564,56,GBPUSD
266,2020.09.07,1.31565,1.31571,1.3155700000000001,1.31561,37,GBPUSD
267,2020.09.07,1.31561,1.31561,1.31538,1.31539,30,GBPUSD
268,2020.09.07,1.31539,1.31545,1.31538,1.31542,15,GBPUSD
269,2020.09.07,1.31542,1.31546,1.31521,1.31535,22,GBPUSD
270,2020.09.07,1.31534,1.31539,1.31504,1.3150700000000002,45,GBPUSD
271,2020.09.07,1.3150700000000002,1.3152,1.31504,1.31504,32,GBPUSD
272,2020.09.07,1.31504,1.3150899999999999,1.31494,1.3149899999999999,37,GBPUSD
273,2020.09.07,1.3149899999999999,1.31525,1.31497,1.3151899999999999,31,GBPUSD
274,2020.09.07,1.3151899999999999,1.31564,1.3151899999999999,1.31564,39,GBPUSD
275,2020.09.07,1.31564,1.31564,1.31508,1.31528,37,GBPUSD
276,2020.09.07,1.31529,1.31532,1.31525,1.31531,8,GBPUSD
277,2020.09.07,1.31531,1.3154,1.31526,1.31538,27,GBPUSD
278,2020.09.07,1.31538,1.31545,1.31535,1.31538,24,GBPUSD
279,2020.09.07,1.31538,1.31568,1.31538,1.31558,19,GBPUSD
280,2020.09.07,1.31558,1.31571,1.31546,1.31566,22,GBPUSD
281,2020.09.07,1.31566,1.31569,1.31534,1.31538,31,GBPUSD
282,2020.09.07,1.31538,1.31551,1.31529,1.31551,29,GBPUSD
283,2020.09.07,1.31551,1.31565,1.31551,1.3155700000000001,19,GBPUSD
284,2020.09.07,1.3155700000000001,1.31559,1.31548,1.31548,13,GBPUSD
285,2020.09.07,1.31548,1.31564,1.31548,1.31564,20,GBPUSD
286,2020.09.07,1.31561,1.31564,1.31558,1.31564,12,GBPUSD
287,2020.09.07,1.31564,1.3159,1.31564,1.31587,31,GBPUSD
288,2020.09.07,1.31586,1.31587,1.31564,1.31575,22,GBPUSD
289,2020.09.07,1.31575,1.31659,1.31568,1.31659,48,GBPUSD
290,2020.09.07,1.31659,1.3166200000000001,1.31633,1.3164200000000001,77,GBPUSD
291,2020.09.07,1.3164200000000001,1.31666,1.31639,1.31665,35,GBPUSD
292,2020.09.07,1.31665,1.31685,1.3164200000000001,1.31645,49,GBPUSD
293,2020.09.07,1.31643,1.31661,1.31639,1.31655,31,GBPUSD
294,2020.09.07,1.31651,1.31656,1.3163200000000002,1.31637,31,GBPUSD
295,2020.09.07,1.31637,1.3164799999999999,1.3162200000000002,1.3164799999999999,34,GBPUSD
296,2020.09.07,1.3164799999999999,1.31665,1.31643,1.31664,29,GBPUSD
297,2020.09.07,1.31665,1.31689,1.31653,1.31689,47,GBPUSD
298,2020.09.07,1.3168799999999998,1.31694,1.31665,1.3168600000000001,46,GBPUSD
299,2020.09.07,1.3168600000000001,1.3169,1.31676,1.31677,26,GBPUSD
300,2020.09.07,1.31677,1.31677,1.31646,1.31671,26,GBPUSD
301,2020.09.07,1.3167200000000001,1.31683,1.31666,1.31667,37,GBPUSD
302,2020.09.07,1.31669,1.31684,1.31667,1.3168,29,GBPUSD
303,2020.09.07,1.31679,1.31679,1.3166,1.31671,30,GBPUSD
304,2020.09.07,1.31671,1.31671,1.31646,1.31651,37,GBPUSD
