,q_values,state,action
150,[[1.092738  1.0663881 1.0527251]],"[ 0.60290172  0.15459291 -0.73072964 -1.          0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
151,[[1.1181115 1.0951947 1.0782722]],"[ 0.60290172  0.09158786 -0.77622566 -0.9100346   0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
152,[[1.0720638 1.0381752 1.029507 ]],"[ 0.45067463  0.04286524 -0.77622566 -0.96539792  0.00181931  0.
  1.          0.        ]",[1. 0. 0.]
153,[[1.031791  1.0255767 0.9782656]],"[ 0.45067463 -0.04445623 -0.7057366  -0.98615917  0.00181931  0.
  1.          0.        ]",[1. 0. 0.]
154,[[1.0336614  1.0237302  0.98722476]],"[ 0.52417008  0.06218568 -0.79980212 -0.97923875  0.00184958  0.
  1.          0.        ]",[1. 0. 0.]
155,[[1.0583516 1.0462245 1.0044193]],"[ 0.55972772  0.03210949 -0.88736608 -0.94463668  0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
156,[[1.0580243 1.0272422 1.0059925]],"[ 0.50225471 -0.02010758 -0.88736608 -0.94463668  0.00184958  0.
  1.          0.        ]",[1. 0. 0.]
157,[[1.039087   1.0102047  0.98949516]],"[ 0.47302793 -0.11116798 -0.74319569 -0.93771626  0.00184201  0.
  1.          0.        ]",[1. 0. 0.]
158,[[1.0234339  0.99655944 0.9847824 ]],"[ 0.53524484  0.02493072 -0.74319569 -0.97231834  0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
159,[[1.052473  1.0383708 1.0019382]],"[ 0.44332329 -0.03609514 -0.74319569 -0.97231834  0.00184201  0.
  1.          0.        ]",[1. 0. 0.]
160,[[1.0299106  1.0181766  0.98287916]],"[ 0.50885004  0.13917168 -0.88522741 -0.96539792  0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
161,[[1.0710299 1.0496174 1.0183756]],"[ 0.44596628  0.14208624 -0.88522741 -0.99307958  0.00184958  0.
  1.          0.        ]",[1. 0. 0.]
162,[[1.0575327 1.0503242 0.9998896]],"[ 0.44596628  0.06566313 -0.88522741 -1.          0.00184958  0.
  1.          0.        ]",[1. 0. 0.]
163,[[1.0451096 1.0354818 0.9858333]],"[ 0.2116968  -0.4539546  -0.06303935 -0.96539792  0.00178904  0.
  1.          0.        ]",[1. 0. 0.]
164,[[0.95461404 0.90844196 0.95044243]],"[ 0.2116968  -0.3419995  -0.06303935 -0.97231834  0.00178904  0.
  1.          0.        ]",[1. 0. 0.]
165,[[0.9494846 0.916794  0.9204441]],"[ 2.55265056e-04 -5.86724050e-01  3.84028757e-01 -9.65397924e-01
  1.72093552e-03  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[1. 0. 0.]
166,[[0.9426037  0.8740816  0.91055715]],"[ 2.55265056e-04 -4.24419309e-01  4.12535893e-01 -9.37716263e-01
  1.72093552e-03  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[1. 0. 0.]
167,[[0.8974366  0.85785025 0.8234969 ]],"[ 0.25690789 -0.19131903 -0.18809125 -0.98615917  0.00178904  0.
  1.          0.        ]",[1. 0. 0.]
168,[[0.96579623 0.9457657  0.9185456 ]],"[ 0.28194513 -0.07297011 -0.3239568  -0.96539792  0.00179661  0.
  1.          0.        ]",[1. 0. 0.]
169,[[0.97386575 0.97422075 0.926382  ]],"[-0.05839254 -0.35232679  0.47153329 -0.71626298  0.00166796  0.
  1.          0.        ]",[0. 1. 0.]
170,[[0.8069353 0.7752668 0.7026859]],"[-0.05839254 -0.2908273   0.47153329 -0.94463668  0.00166796  0.
  1.          0.        ]",[1. 0. 0.]
